DateTime,Open,Close,High,Low
2020-03-25,1920.69,1885.84,1950.26,1885.78
2020-03-26,1902,1955.49,1956.49,1889.29
2020-03-27,1930.86,1900.1,1939.79,1899.92
2020-03-30,1922.83,1963.95,1973.63,1912.34
2020-03-31,1964.35,1949.72,1993.02,1944.01
2020-04-01,1932.97,1907.7,1944.96,1893
2020-04-02,1901.64,1918.83,1927.5258,1890
2020-04-03,1911.15,1906.59,1926.33,1889.15
2020-04-06,1936,1997.59,1998.52,1930.02
2020-04-07,2017.11,2011.6,2035.72,1997.62
2020-04-08,2021,2043,2044,2011.15
2020-04-09,2044.3,2042.76,2053,2017.66
2020-04-13,2040,2168.87,2180,2038
2020-04-14,2200.47,2283.32,2292,2186.21
2020-04-15,2257.68,2307.68,2333.369,2245
2020-04-16,2346,2408.19,2460.9981,2335
2020-04-17,2372.33,2375,2400,2316.02
2020-04-20,2389.95,2393.61,2444.98,2386.05
2020-04-21,2416.61,2328.12,2428.3099,2279.66
2020-04-22,2369,2363.49,2394,2351
2020-04-23,2399.98,2399.45,2424.22,2382.08
2020-04-24,2417,2410.22,2420.4332,2382
2020-04-27,2443.2,2376,2444.88,2363
2020-04-28,2372.1,2314.08,2373.5,2306
2020-04-29,2330.01,2372.71,2391.89,2310
2020-04-30,2419.96,2474,2475,2396.01
2020-05-01,2336.8,2286.04,2362.44,2258.1901
2020-05-04,2256.38,2315.99,2326.98,2256.38
2020-05-05,2340,2317.8,2351,2307.1251
2020-05-06,2329.44,2351.26,2357.45,2320
2020-05-07,2374.78,2367.61,2376,2343.11
2020-05-08,2372.14,2379.61,2387.2449,2357
2020-05-11,2374.7,2409,2419.665,2372.11
2020-05-12,2411.85,2356.95,2418.9999,2355
2020-05-13,2366.8,2367.92,2407.7,2337.805
2020-05-14,2361.01,2388.85,2391.37,2353.21
2020-05-15,2368.52,2409.78,2411,2356.37
2020-05-18,2404.3456,2426.26,2433,2384.01
2020-05-19,2429.83,2449.33,2484.995,2428.97
2020-05-20,2477.87,2497.94,2500.01,2467.27
2020-05-21,2500,2446.74,2525.45,2442.54
2020-05-22,2455.01,2436.88,2469.85,2430.13
2020-05-26,2458,2421.86,2462,2414.06
2020-05-27,2404.99,2410.39,2413.58,2330
2020-05-28,2384.33,2401.1,2436.9699,2378.23
2020-05-29,2415.94,2442.37,2442.37,2398.1973
2020-06-01,2448,2471.04,2476.93,2444.17
